                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.76324,                  0.751,                 1.2911,                0.90928,                0.85467,                0.92394,                0.76668,                0.61727,                0.52584,                 1.1189,             0.00028806,             0.00028806,             0.00028806
                     71,                0.74256,                0.71482,                 1.2704,                0.97874,                 0.8601,                0.93765,                0.78716,                  0.603,                0.44459,                 1.1126,             0.00027906,             0.00027906,             0.00027906
                     72,                0.74233,                0.70471,                 1.2745,                0.97051,                0.85565,                0.93457,                0.78138,                0.62471,                0.47937,                 1.1283,             0.00027006,             0.00027006,             0.00027006
                     73,                0.74348,                0.70669,                 1.2742,                0.95809,                0.87608,                0.93911,                0.78677,                0.60847,                 0.4488,                  1.112,             0.00026106,             0.00026106,             0.00026106
                     74,                 0.7189,                 0.6778,                 1.2526,                0.95488,                0.88009,                0.94394,                0.79652,                0.60239,                0.44677,                 1.1037,             0.00025207,             0.00025207,             0.00025207
                     75,                0.73725,                0.70771,                 1.2743,                0.96633,                0.86927,                0.93341,                0.78563,                0.60725,                0.44782,                 1.1065,             0.00024307,             0.00024307,             0.00024307
                     76,                0.73869,                0.71701,                  1.264,                0.95232,                0.86711,                0.93768,                0.79333,                0.59051,                0.45834,                 1.0903,             0.00023407,             0.00023407,             0.00023407
                     77,                0.71104,                0.68644,                 1.2481,                0.94849,                0.87718,                 0.9433,                0.79599,                 0.6003,                0.45121,                 1.0986,             0.00022507,             0.00022507,             0.00022507
                     78,                0.73045,                0.68034,                 1.2607,                0.97808,                0.85382,                0.94438,                0.79761,                0.59083,                0.44788,                 1.0916,             0.00021607,             0.00021607,             0.00021607
                     79,                0.69787,                0.66257,                  1.237,                0.96555,                0.86349,                0.94075,                0.79424,                0.59488,                0.42996,                 1.0936,             0.00020707,             0.00020707,             0.00020707
                     80,                0.73123,                0.68401,                 1.2551,                0.95971,                0.87774,                0.94363,                0.79982,                0.59045,                 0.4411,                  1.085,             0.00019807,             0.00019807,             0.00019807
                     81,                0.72245,                0.66627,                 1.2516,                0.96369,                0.88055,                0.94946,                0.79886,                0.58978,                0.42398,                 1.0872,             0.00018907,             0.00018907,             0.00018907
                     82,                0.72188,                0.67724,                 1.2577,                0.96151,                0.86601,                0.94637,                0.79781,                0.58901,                0.43911,                 1.0874,             0.00018007,             0.00018007,             0.00018007
                     83,                0.71185,                0.67049,                 1.2435,                0.96543,                0.87235,                0.94691,                0.80259,                 0.5882,                0.42017,                 1.0864,             0.00017107,             0.00017107,             0.00017107
                     84,                0.70121,                0.64316,                 1.2451,                0.97179,                0.87507,                0.94628,                0.79972,                0.59092,                   0.42,                  1.083,             0.00016207,             0.00016207,             0.00016207
                     85,                0.70452,                0.63247,                 1.2366,                0.96045,                 0.8616,                0.94393,                0.80336,                0.58731,                0.42759,                 1.0834,             0.00015308,             0.00015308,             0.00015308
                     86,                0.70584,                0.64715,                 1.2455,                0.96631,                0.87534,                 0.9462,                 0.7989,                0.59285,                0.41865,                  1.086,             0.00014408,             0.00014408,             0.00014408
                     87,                0.69558,                 0.6439,                  1.238,                0.97048,                0.86967,                0.94546,                0.80643,                0.58074,                0.41689,                 1.0749,             0.00013508,             0.00013508,             0.00013508
                     88,                0.69405,                0.62465,                 1.2326,                0.96431,                0.87918,                0.94795,                0.80711,                0.57711,                0.40732,                 1.0761,             0.00012608,             0.00012608,             0.00012608
                     89,                0.69047,                0.62888,                  1.233,                0.96226,                0.88823,                0.94758,                0.80567,                0.57539,                0.41347,                 1.0721,             0.00011708,             0.00011708,             0.00011708
                     90,                0.68939,                0.62524,                 1.2365,                0.95206,                0.88964,                0.94797,                0.80121,                0.58103,                0.40924,                 1.0811,             0.00010808,             0.00010808,             0.00010808
                     91,                0.55069,                0.45807,                 1.1295,                0.94857,                0.87795,                0.94756,                0.80382,                0.58203,                0.42124,                 1.0831,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     92,                 0.5421,                0.43404,                 1.1238,                0.97354,                0.86174,                0.94872,                0.80822,                0.57895,                0.40918,                 1.0781,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     93,                0.53588,                0.42019,                 1.1152,                0.97108,                0.87074,                0.95133,                0.80849,                0.57345,                0.40669,                 1.0679,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     94,                   0.53,                0.42264,                 1.1158,                0.97866,                0.87037,                0.95132,                 0.8114,                0.57194,                0.40093,                 1.0684,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     95,                0.52489,                0.40609,                 1.1028,                0.95514,                0.88053,                0.94989,                0.80779,                0.56966,                0.40271,                 1.0687,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     96,                0.51935,                0.41586,                 1.0998,                0.96517,                0.87096,                0.95336,                 0.8157,                0.56343,                 0.3954,                 1.0606,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     97,                0.51741,                0.39787,                 1.1041,                0.97513,                0.87884,                0.95241,                0.81755,                0.56332,                0.38835,                 1.0573,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     98,                 0.5138,                0.39699,                  1.097,                 0.9679,                0.86783,                0.95035,                0.81689,                0.56703,                0.39841,                 1.0593,             3.6087e-05,             3.6087e-05,             3.6087e-05
                     99,                0.52121,                0.40367,                 1.0967,                0.97648,                0.86495,                0.95307,                0.81508,                0.56606,                0.38978,                 1.0592,             2.7088e-05,             2.7088e-05,             2.7088e-05
                    100,                0.50981,                0.38669,                 1.0911,                0.97383,                0.87952,                0.95427,                0.81703,                0.56446,                0.38886,                 1.0576,             1.8089e-05,             1.8089e-05,             1.8089e-05
